Cargo;Servidores;Salário Base;Vencimentos Totais;Descontos;Líquido
Agente Administrativo I;2;R$ 4.612,76;R$ 11.629,78;R$ 2.891,61;R$ 8.738,17
Agente Administrativo II;2;R$ 5.405,76;R$ 10.731,31;R$ 3.594,21;R$ 7.137,10
Agente Comunitário da Saúde;2;R$ 3.246,90;R$ 4.661,75;R$ 1.450,90;R$ 3.210,85
Agente de Educação Infantil;8;R$ 12.987,60;R$ 18.388,15;R$ 4.711,51;R$ 13.676,64
Agente de M. e R. II- Mecanico;2;R$ 5.982,98;R$ 12.537,95;R$ 2.148,94;R$ 10.389,01
Agente de M. e Reparos I;12;R$ 19.481,40;R$ 34.620,23;R$ 8.993,46;R$ 25.626,77
Agente de Serviços Gerais;12;R$ 19.481,40;R$ 31.644,75;R$ 10.650,76;R$ 20.993,99
Agente Edu.Infantil - CONTRATO;1;R$ 1.623,45;R$ 2.155,91;R$ 182,22;R$ 1.973,69
Agentes de M. e R. II Pedreiro;2;R$ 5.982,98;R$ 8.319,23;R$ 3.225,16;R$ 5.094,07
Agentes de M. e Reparos I;1;R$ 1.623,45;R$ 2.495,14;R$ 266,96;R$ 2.228,18
Agentes M. e R. II Eletrecista;1;R$ 2.991,49;R$ 3.995,78;R$ 828,67;R$ 3.167,11
Assessor Juridico;1;R$ 4.934,49;R$ 5.304,61;R$ 919,80;R$ 4.384,81
Auxiliar de Odontëlogo;1;R$ 2.160,90;R$ 6.338,14;R$ 1.704,63;R$ 4.633,51
Chefe de Gabinete;1;R$ 4.134,79;R$ 4.504,91;R$ 654,23;R$ 3.850,68
Chefe S. F. e Distribuição;1;R$ 2.643,43;R$ 3.013,55;R$ 301,94;R$ 2.711,61
Cirurgião Dentista 20 Hs;2;R$ 8.000,86;R$ 9.390,46;R$ 1.561,29;R$ 7.829,17
Conselheiro Tutelar;5;R$ 7.012,55;R$ 8.960,53;R$ 1.216,72;R$ 7.743,81
Contador(a);1;R$ 4.612,83;R$ 7.127,07;R$ 1.515,93;R$ 5.611,14
Diretor D. C. da UBS Central;1;R$ 4.934,49;R$ 5.304,61;R$ 919,80;R$ 4.384,81
Diretor D. E. e Projetos;1;R$ 4.134,79;R$ 4.504,91;R$ 655,45;R$ 3.849,46
Diretor de C. e A. Social;1;R$ 2.160,90;R$ 7.480,40;R$ 2.076,07;R$ 5.404,33
Diretor de Escola;1;R$ 4.134,79;R$ 4.504,91;R$ 655,45;R$ 3.849,46
Diretor de Obras Públicas;1;R$ 4.134,79;R$ 4.504,91;R$ 627,01;R$ 3.877,90
Diretor do D. A. e T. Escolar;1;R$ 3.264,66;R$ 3.634,78;R$ 427,78;R$ 3.207,00
Diretor do D. de M. Ambiente;1;R$ 4.934,49;R$ 5.304,61;R$ 1.605,82;R$ 3.698,79
Diretor do D. I. e M. da Frota;1;R$ 3.264,66;R$ 3.634,78;R$ 421,69;R$ 3.213,09
Diretora D. C. P. S. Familia;1;R$ 3.264,66;R$ 3.634,78;R$ 389,05;R$ 3.245,73
Enfermeiro;4;R$ 18.451,32;R$ 27.223,31;R$ 7.239,84;R$ 19.983,47
Engenheiro Civil;1;R$ 4.612,83;R$ 8.563,04;R$ 4.445,97;R$ 4.117,07
Fiscal de Obras e Postura;1;R$ 2.991,49;R$ 4.483,70;R$ 718,03;R$ 3.765,67
Fiscal S. e de Meio Ambiente;1;R$ 1.495,74;R$ 4.821,77;R$ 964,76;R$ 3.857,01
Fisioterapeuta Estatutario;2;R$ 8.000,86;R$ 9.812,66;R$ 2.120,83;R$ 7.691,83
Inativo;45;R$ 208.735,30;R$ 206.691,72;R$ 33.375,48;R$ 173.316,24
Medico C. Geral 20 H -CONTRATO;1;R$ 8.406,24;R$ 23.856,28;R$ 6.229,58;R$ 17.626,70
Médico Clinico Geral - 40 h;1;R$ 12.776,83;R$ 33.837,58;R$ 10.688,19;R$ 23.149,39
Medico Clinico Geral 20 H;2;R$ 16.812,48;R$ 54.195,81;R$ 19.515,41;R$ 34.680,40
Medico Veterinario;1;R$ 8.406,24;R$ 13.718,41;R$ 4.150,26;R$ 9.568,15
Motorista;11;R$ 25.370,18;R$ 64.460,95;R$ 22.660,63;R$ 41.800,32
Nutricionista;1;R$ 4.000,43;R$ 5.421,61;R$ 2.318,68;R$ 3.102,93
Operador de Blaster;1;R$ 2.674,99;R$ 7.189,76;R$ 2.224,95;R$ 4.964,81
Operador de Máquinas;11;R$ 32.906,39;R$ 78.842,98;R$ 25.512,52;R$ 53.330,46
Pensionista;12;R$ 54.989,52;R$ 54.989,52;R$ 10.380,93;R$ 44.608,59
Prefeito;1;R$ 14.700,50;R$ 15.161,39;R$ 3.911,37;R$ 11.250,02
Professor- CONTRATO TEMPORÁRIO;10;R$ 25.690,25;R$ 37.455,51;R$ 8.226,44;R$ 29.229,07
Professor II (Nivel Superior);4;R$ 12.012,40;R$ 20.026,97;R$ 3.798,87;R$ 16.228,10
Professor II Pós-graduado;20;R$ 66.804,60;R$ 94.146,92;R$ 28.524,93;R$ 65.621,99
Professor Nível Médio;1;R$ 3.340,23;R$ 7.262,76;R$ 2.268,88;R$ 4.993,88
Psicologo;1;R$ 4.000,43;R$ 6.147,32;R$ 1.156,29;R$ 4.991,03
Secretário;2;R$ 12.269,48;R$ 13.009,72;R$ 2.359,50;R$ 10.650,22
Técnico em Enfermagem;6;R$ 16.217,28;R$ 30.670,88;R$ 8.616,56;R$ 22.054,32
Telefonista;1;R$ 1.709,40;R$ 4.594,88;R$ 821,33;R$ 3.773,55
Tesoureiro;1;R$ 4.000,43;R$ 6.912,09;R$ 1.480,97;R$ 5.431,12
Vice Prefeito Em Exercicio;1;R$ 6.134,74;R$ 8.354,58;R$ 1.841,75;R$ 6.512,83
Totais;;R$ 728.658,83;R$ 1.070.180,06;R$ 270.150,01;R$ 800.030,05
